experiment_run_id,manifest_id,source_git_commit,method,operational_index,episode_id,seed,decision_timestamp_ns,history_episode_ids,history_size,selected_skill,reason,compensation_alpha,retry_alpha,compensation_mean_utility,retry_mean_utility,probability_compensation_better,selected_predicted_accept_probability,verification_status,selected_accepted,alternative_accepted,any_candidate_accepted,harmful_transfer,missed_recoverable_abstention,probe_steps,verification_steps,total_additional_steps,current_outcome_read_after_decision
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,posterior_greedy,7,28,2227,163905664829500,"[10, 11, 20, 22, 23, 26]",6,BOUNDED_PLANAR_COMPENSATION,frozen alternating exploration,"[1.0, 2.0, 3.0]","[2.0, 2.0, 2.0]",0.3333333333333333,0.5,,0.16666666666666666,ACCEPTED,True,True,True,False,False,64,58,122,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,posterior_abstain,7,28,2227,163905664891100,"[10, 11, 20, 22, 23, 26]",6,BOUNDED_PLANAR_COMPENSATION,frozen alternating exploration,"[1.0, 2.0, 3.0]","[2.0, 2.0, 2.0]",0.3333333333333333,0.5,,0.16666666666666666,ACCEPTED,True,True,True,False,False,64,58,122,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,always_compensation,8,31,2230,163905664954500,"[10, 11, 20, 22, 23, 26, 28]",7,BOUNDED_PLANAR_COMPENSATION,fixed compensation baseline,"[5.0, 2.0, 3.0]","[1.0, 1.0, 1.0]",0.6,0.5,,0.5,ACCEPTED,True,True,True,False,False,64,222,286,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,always_retry,8,31,2230,163905665040700,"[10, 11, 20, 22, 23, 26, 28]",7,INDEPENDENT_STOCHASTIC_RETRY,fixed retry baseline,"[1.0, 1.0, 1.0]","[5.0, 2.0, 3.0]",0.5,0.6,,0.5,ACCEPTED,True,True,True,False,False,64,112,176,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,accepted_only_last,8,31,2230,163905665129500,"[10, 11, 20, 22, 23, 26, 28]",7,INDEPENDENT_STOCHASTIC_RETRY,frozen alternating exploration,"[2.0, 2.0, 3.0]","[2.0, 2.0, 2.0]",0.42857142857142855,0.5,,0.3333333333333333,ACCEPTED,True,True,True,False,False,64,112,176,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,posterior_greedy,8,31,2230,163905665195100,"[10, 11, 20, 22, 23, 26, 28]",7,INDEPENDENT_STOCHASTIC_RETRY,frozen alternating exploration,"[2.0, 2.0, 3.0]","[2.0, 2.0, 2.0]",0.42857142857142855,0.5,,0.3333333333333333,ACCEPTED,True,True,True,False,False,64,112,176,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,posterior_abstain,8,31,2230,163905665266500,"[10, 11, 20, 22, 23, 26, 28]",7,INDEPENDENT_STOCHASTIC_RETRY,frozen alternating exploration,"[2.0, 2.0, 3.0]","[2.0, 2.0, 2.0]",0.42857142857142855,0.5,,0.3333333333333333,ACCEPTED,True,True,True,False,False,64,112,176,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,always_compensation,9,38,2237,163905665333800,"[10, 11, 20, 22, 23, 26, 28, 31]",8,BOUNDED_PLANAR_COMPENSATION,fixed compensation baseline,"[6.0, 2.0, 3.0]","[1.0, 1.0, 1.0]",0.6363636363636364,0.5,,0.5454545454545454,INCONCLUSIVE,False,True,True,True,False,64,500,564,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,always_retry,9,38,2237,163905665398600,"[10, 11, 20, 22, 23, 26, 28, 31]",8,INDEPENDENT_STOCHASTIC_RETRY,fixed retry baseline,"[1.0, 1.0, 1.0]","[6.0, 2.0, 3.0]",0.5,0.6363636363636364,,0.5454545454545454,ACCEPTED,True,False,True,False,False,64,165,229,True
acr_distributional_v2_20260802T131001Z_6178437d677a,5521614e7dbaf2acc2e7fbe0c7c96051754d6a581459a0d4b1bb1e131b2bb7c4,6178437d677aff08c16bd506b82f9aac01890095,accepted_only_last,9,38,2237,163905665462500,"[10, 11, 20, 22, 23, 26, 28, 31]",8,INDEPENDENT_STOCHASTIC_RETRY,reuse most recent accepted selected intervention,"[2.0, 2.0, 3.0]","[3.0, 2.0, 2.0]",0.42857142857142855,0.5714285714285714,,0.42857142857142855,ACCEPTED,True,False,True,False,False,64,165,229,True
