perturbation_type,perturbation_level,episode_id,seed,success,steps,episode_return,elapsed_time_ms,clip_count,clip_fraction
action_scale,0.4,3,102,True,145,443.7232261152962,123.85060009546578,0,0.0
action_scale,0.2,3,102,True,277,768.1843577320366,236.96670006029308,0,0.0
gaussian_noise,0.0,3,102,True,54,138.69793980503897,57.68299987539649,22,0.4074074074074074
gaussian_noise,0.02,3,102,True,55,146.41439489179845,56.910600047558546,22,0.4
gaussian_noise,0.05,3,102,True,55,146.59092800447377,56.162700057029724,22,0.4
gaussian_noise,0.1,3,102,True,52,139.16277435205467,55.174400098621845,22,0.4230769230769231
gaussian_noise,0.2,3,102,True,53,148.61887827126463,58.16189991310239,23,0.4339622641509434
action_bias,0.0,3,102,True,54,138.69793980503897,56.66010011918843,22,0.4074074074074074
action_bias,0.02,3,102,True,54,160.00074270493454,58.101699920371175,22,0.4074074074074074
action_bias,0.05,3,102,True,65,218.49285086133702,68.80959984846413,22,0.3384615384615385
action_bias,0.1,3,102,False,500,288.9114254793565,485.6745998840779,19,0.038
action_bias,0.15,3,102,False,500,105.11444910757399,426.12130008637905,293,0.586
action_scale,1.0,4,103,True,67,229.33998583751185,70.56079991161823,30,0.44776119402985076
action_scale,0.8,4,103,True,77,251.8428006554043,85.17650002613664,23,0.2987012987012987
action_scale,0.6,4,103,False,500,3381.4084351000765,449.0109998732805,11,0.022
action_scale,0.4,4,103,True,169,522.6845781085465,190.0360998697579,0,0.0
action_scale,0.2,4,103,True,323,917.7623410491774,274.5358000975102,0,0.0
gaussian_noise,0.0,4,103,True,67,229.33998583751185,69.32670017704368,30,0.44776119402985076
gaussian_noise,0.02,4,103,True,67,229.49927324098738,66.01390009745955,30,0.44776119402985076
gaussian_noise,0.05,4,103,True,66,221.03748509886714,69.01440001092851,31,0.4696969696969697
gaussian_noise,0.1,4,103,True,67,226.7094771363129,93.91060005873442,33,0.4925373134328358
gaussian_noise,0.2,4,103,False,500,2759.224065739936,474.39670003950596,40,0.08
action_bias,0.0,4,103,True,67,229.33998583751185,74.37269994989038,30,0.44776119402985076
action_bias,0.02,4,103,True,68,236.80691465745065,71.70710014179349,30,0.4411764705882353
action_bias,0.05,4,103,False,500,3039.2093304119144,526.4214999042451,25,0.05
action_bias,0.1,4,103,False,500,285.5284894792443,527.2801998071373,18,0.036
action_bias,0.15,4,103,False,500,114.57274403085641,413.8923001009971,281,0.562
action_scale,1.0,5,104,True,58,166.16031926596457,65.88809983804822,23,0.39655172413793105
action_scale,0.8,5,104,True,68,190.57626738168466,71.36370008811355,17,0.25
action_scale,0.6,5,104,True,89,252.38534611612067,85.14440013095737,0,0.0
action_scale,0.4,5,104,True,156,452.05343859744505,150.73029999621212,0,0.0
action_scale,0.2,5,104,True,298,774.502272880865,253.01230000331998,0,0.0
gaussian_noise,0.0,5,104,True,58,166.16031926596457,64.94980002753437,23,0.39655172413793105
gaussian_noise,0.02,5,104,True,58,166.27213551608438,62.39069998264313,22,0.3793103448275862
gaussian_noise,0.05,5,104,True,58,166.34952585213887,64.56020008772612,22,0.3793103448275862
gaussian_noise,0.1,5,104,True,59,175.745825209513,63.30729997716844,23,0.3898305084745763
gaussian_noise,0.2,5,104,True,60,181.66189650491768,63.82550019770861,24,0.4
action_bias,0.0,5,104,True,58,166.16031926596457,65.91090001165867,23,0.39655172413793105
action_bias,0.02,5,104,True,59,172.9747385651716,64.77679987438023,23,0.3898305084745763
action_bias,0.05,5,104,True,76,265.1368807599334,78.77819985151291,22,0.2894736842105263
