stage,index,seed,environment_steps,process_rss_mb,system_available_mb,system_available_commit_mb
construction,53,772,4,143.53515625,11615.70703125,10479.0546875
construction,54,773,4,143.54296875,11615.6484375,10480.75390625
construction,55,774,4,142.6796875,11622.4765625,10482.8046875
construction,56,775,4,143.37109375,11621.5859375,10484.75
construction,57,776,4,118.546875,11642.83984375,10508.42578125
construction,58,777,4,142.55078125,11614.7421875,10480.484375
construction,59,778,4,143.50390625,11619.265625,10479.23828125
construction,60,779,4,144.4921875,11618.5859375,10485.94921875
construction,61,760,4,144.45703125,11618.03515625,10480.453125
construction,62,761,4,117.03125,11642.5546875,10504.875
construction,63,762,4,143.65625,11614.859375,10478.8046875
construction,64,763,4,142.08984375,11628.64453125,10491.953125
construction,65,764,4,142.12890625,11621.41796875,10489.625
construction,66,765,4,142.2265625,11624.203125,10490.109375
construction,67,766,4,118.58984375,11646.41796875,10511.6328125
construction,68,767,4,143.47265625,11626.8828125,10492.0390625
construction,69,768,4,144.08203125,11623.4921875,10491.125
construction,70,769,4,144.16015625,11622.2109375,10484.82421875
construction,71,770,4,144.17578125,11622.03125,10483.94140625
construction,72,771,4,144.22265625,11550.11328125,10407.34765625
construction,73,772,4,143.60546875,11550.6171875,10409.62109375
construction,74,773,4,142.6171875,11550.08984375,10410.41015625
construction,75,774,4,144.17578125,11549.49609375,10409.3125
construction,76,775,4,144.17578125,11550.51171875,10408.91015625
construction,77,776,4,144.17578125,11549.08984375,10408.98828125
construction,78,777,4,143.1484375,11553.6953125,10408.7265625
construction,79,778,4,144.296875,11542.6171875,10402.13671875
construction,80,779,4,143.62890625,11546.2421875,10406.22265625
construction,81,760,4,143.82421875,11543.92578125,10402.6953125
construction,82,761,4,143.84765625,11533.2109375,10392.45703125
construction,83,762,4,143.1640625,11540.4765625,10397.98046875
construction,84,763,4,143.82421875,11545.92578125,10408.38671875
construction,85,764,4,143.92578125,11539.87890625,10407.24609375
construction,86,765,4,143.84765625,11542.09765625,10403.5859375
construction,87,766,4,143.42578125,11537.88671875,10402.859375
construction,88,767,4,143.33203125,11541.71875,10402.046875
construction,89,768,4,144.453125,11539.08203125,10399.703125
construction,90,769,4,143.90234375,11535.07421875,10399.06640625
construction,91,770,4,144.4375,11535.89453125,10400.515625
construction,92,771,4,144.4609375,11604.625,10468.2734375
construction,93,772,4,143.3984375,11596.2265625,10463.76171875
construction,94,773,4,143.2890625,11608.3046875,10478.45703125
construction,95,774,4,142.51953125,11608.6171875,10476.55859375
construction,96,775,4,142.38671875,11608.8046875,10477.67578125
construction,97,776,4,144.34375,11596.05078125,10466.09765625
construction,98,777,4,118.6796875,11627.36328125,10496.3671875
construction,99,778,4,142.64453125,11602.54296875,10474.234375
construction,100,779,4,143.73046875,11613.984375,10484.8828125
rollout,1,760,57,145.25,11610.51171875,10478.9375
rollout,2,761,69,144.1796875,11612.77734375,10478.31640625
rollout,3,762,64,118.890625,11635.98828125,10502.76953125
rollout,4,763,64,143.7265625,11607.16015625,10476.16015625
rollout,5,764,63,144.53515625,11603.83984375,10475.88671875
rollout,6,765,58,146.234375,11598.42578125,10471.078125
rollout,7,766,59,145.1328125,11599.74609375,10468.984375
rollout,8,767,55,120.046875,11623.96484375,10496.0546875
rollout,9,768,60,144.1640625,11595.52734375,10466.1640625
rollout,10,769,59,145.26953125,11595.26171875,10464.0625
rollout,11,770,64,145.32421875,11608.1796875,10479.28515625
rollout,12,771,78,145.3828125,11618.19140625,10482.98046875
rollout,13,772,58,145.09765625,11619.4453125,10488.41015625
rollout,14,773,56,144.265625,11587.26953125,10455.796875
rollout,15,774,68,144.36328125,11552.13671875,10416.05078125
rollout,16,775,67,144.3515625,11548.859375,10414.80859375
rollout,17,776,71,144.421875,11535.66796875,10395.91796875
rollout,18,777,52,145.44140625,11535.890625,10395.99609375
rollout,19,778,55,143.6953125,11547.94140625,10406.84765625
rollout,20,779,61,144.92578125,11539.05859375,10404.140625
