noise_std,seed,success,steps,final_object_goal_distance,clipped_step_fraction,clipped_element_fraction
0.4,302,True,117,0.04977824969009588,0.3076923076923077,0.07905982905982906
0.4,303,True,122,0.04787880915400782,0.36065573770491804,0.1168032786885246
0.4,304,False,500,0.26961418688297606,0.18,0.046
0.4,305,True,102,0.04974580057097582,0.30392156862745096,0.10049019607843138
0.4,306,True,94,0.04817486594127739,0.5319148936170213,0.16489361702127658
0.4,307,True,80,0.04820127147733671,0.4875,0.1375
0.4,308,True,62,0.045849307452663426,0.5,0.125
0.4,309,True,58,0.04986649847870683,0.5344827586206896,0.14655172413793102
0.45,300,True,101,0.04843062234398264,0.4752475247524752,0.12623762376237624
0.45,301,True,81,0.047895365409952914,0.4691358024691358,0.12962962962962962
0.45,302,True,92,0.046469743230022245,0.5434782608695652,0.13858695652173914
0.45,303,True,133,0.04713648522921319,0.39097744360902253,0.12781954887218044
0.45,304,False,500,0.392966892127018,0.204,0.053
0.45,305,True,108,0.04840140653415085,0.2962962962962963,0.09722222222222222
0.45,306,False,500,0.18822496454096876,0.216,0.0595
0.45,307,True,116,0.04523797973838107,0.3706896551724138,0.1271551724137931
0.45,308,True,62,0.04623049538252125,0.5161290322580645,0.13709677419354838
0.45,309,True,63,0.04740436396762399,0.49206349206349204,0.1388888888888889
0.5,300,True,111,0.0468690473765251,0.43243243243243246,0.11261261261261261
0.5,301,True,97,0.049117657932115796,0.422680412371134,0.1211340206185567
0.5,302,True,94,0.04615615891269121,0.5638297872340425,0.15691489361702127
0.5,303,True,139,0.046248968833017545,0.460431654676259,0.13309352517985612
0.5,304,False,500,0.3613492679351864,0.25,0.066
0.5,305,True,115,0.04962273792171492,0.3826086956521739,0.13043478260869565
0.5,306,False,500,0.22780726987478808,0.298,0.0825
0.5,307,True,141,0.04412840362651172,0.5177304964539007,0.16134751773049646
0.5,308,True,61,0.047535828124110065,0.5737704918032787,0.1557377049180328
0.5,309,True,65,0.04812976100321378,0.5076923076923077,0.14615384615384616
0.55,300,True,130,0.04781071860402806,0.4153846153846154,0.11538461538461539
0.55,301,True,101,0.04615211915710896,0.4752475247524752,0.15594059405940594
0.55,302,True,95,0.04724780866678389,0.5789473684210527,0.16578947368421051
0.55,303,True,147,0.04971925626944699,0.46258503401360546,0.13945578231292516
0.55,304,False,500,0.522857533027266,0.678,0.1905
0.55,305,True,123,0.04890285385355465,0.4146341463414634,0.13617886178861788
0.55,306,False,500,0.09411643674475438,0.356,0.102
