schema_version,seed,bias_x,bias_y,method,trial,correction_x,correction_y,success,steps,episode_return,final_object_goal_distance,clipped_step_fraction,probe_environment_steps,cumulative_environment_steps,approach_steps,push_steps,near_goal_steps,agent_estimated_bias_x,agent_estimated_bias_y
1,263,0.14,-0.14,dominant_only,2,0.0,0.18,False,500,150.8936273769276,0.3238493217363613,0.058,32,532,42,458,0,0.09166906203022461,-0.1731358563257173
1,263,0.14,-0.14,sequential,2,0.0,0.18,False,500,150.8936273769276,0.3238493217363613,0.058,32,532,42,458,0,0.09166906203022461,-0.1731358563257173
1,263,0.14,-0.14,sequential,3,-0.1,0.18,True,55,182.07951773164055,0.04843133152134618,0.509090909090909,32,587,25,26,4,0.09166906203022461,-0.1731358563257173
1,263,0.14,-0.14,simultaneous,2,-0.1,0.18,True,55,182.07951773164055,0.04843133152134618,0.509090909090909,32,87,25,26,4,0.09166906203022461,-0.1731358563257173
1,263,0.14,-0.14,oracle,2,-0.14,0.14,True,57,169.7864794443383,0.04731785149147579,0.49122807017543857,32,89,26,26,5,0.09166906203022461,-0.1731358563257173
1,264,0.14,-0.14,baseline,1,0.0,0.0,False,500,121.60863906713811,0.2242139923176852,0.44,0,500,412,88,0,,
1,264,0.14,-0.14,dominant_only,2,0.0,0.18,True,62,169.87240235857087,0.048550626029476025,0.46774193548387094,32,94,29,28,5,0.09166906203022446,-0.1731358563257173
1,264,0.14,-0.14,sequential,2,0.0,0.18,True,62,169.87240235857087,0.048550626029476025,0.46774193548387094,32,94,29,28,5,0.09166906203022446,-0.1731358563257173
1,264,0.14,-0.14,simultaneous,2,-0.1,0.18,True,62,210.7213978221721,0.04815406178758949,0.46774193548387094,32,94,29,28,5,0.09166906203022446,-0.1731358563257173
1,264,0.14,-0.14,oracle,2,-0.14,0.14,True,64,196.94108341173515,0.04755537037497927,0.453125,32,96,30,28,6,0.09166906203022446,-0.1731358563257173
1,265,0.14,-0.14,baseline,1,0.0,0.0,False,500,129.77242375074238,0.23117963918594203,0.442,0,500,409,91,0,,
1,265,0.14,-0.14,dominant_only,2,0.0,0.18,False,500,542.0053012510641,0.08676670623490378,0.5,32,532,268,210,22,0.09166906203022532,-0.1731358563257173
1,265,0.14,-0.14,sequential,2,0.0,0.18,False,500,542.0053012510641,0.08676670623490378,0.5,32,532,268,210,22,0.09166906203022532,-0.1731358563257173
1,265,0.14,-0.14,sequential,3,-0.1,0.18,True,57,202.1224874240141,0.049275860531265925,0.5263157894736842,32,589,23,29,5,0.09166906203022532,-0.1731358563257173
1,265,0.14,-0.14,simultaneous,2,-0.1,0.18,True,57,202.1224874240141,0.049275860531265925,0.5263157894736842,32,89,23,29,5,0.09166906203022532,-0.1731358563257173
1,265,0.14,-0.14,oracle,2,-0.14,0.14,True,58,207.20345857720147,0.04764333638475937,0.5172413793103449,32,90,23,30,5,0.09166906203022532,-0.1731358563257173
1,266,0.14,-0.14,baseline,1,0.0,0.0,False,500,135.78103275598605,0.2651555435542233,0.394,0,500,414,86,0,,
1,266,0.14,-0.14,dominant_only,2,0.0,0.18,False,500,248.41513731705558,0.33291154930290623,0.276,32,532,168,332,0,0.09166906203022353,-0.1731358563257173
1,266,0.14,-0.14,sequential,2,0.0,0.18,False,500,248.41513731705558,0.33291154930290623,0.276,32,532,168,332,0,0.09166906203022353,-0.1731358563257173
1,266,0.14,-0.14,sequential,3,-0.1,0.18,True,67,231.50777470011388,0.0494062067699689,0.4626865671641791,32,599,31,30,6,0.09166906203022353,-0.1731358563257173
1,266,0.14,-0.14,simultaneous,2,-0.1,0.18,True,67,231.50777470011388,0.0494062067699689,0.4626865671641791,32,99,31,30,6,0.09166906203022353,-0.1731358563257173
1,266,0.14,-0.14,oracle,2,-0.14,0.14,True,68,243.1217644302513,0.049606117979276367,0.45588235294117646,32,100,31,30,7,0.09166906203022353,-0.1731358563257173
1,267,0.14,-0.14,baseline,1,0.0,0.0,False,500,145.56364799291484,0.2475589396301936,0.46,0,500,419,81,0,,
1,267,0.14,-0.14,dominant_only,2,0.0,0.18,False,500,120.31095100701255,0.279447142585962,0.12,32,532,98,402,0,0.09166906203022453,-0.1731358563257173
1,267,0.14,-0.14,sequential,2,0.0,0.18,False,500,120.31095100701255,0.279447142585962,0.12,32,532,98,402,0,0.09166906203022453,-0.1731358563257173
1,267,0.14,-0.14,sequential,3,-0.1,0.18,True,59,175.67811732856165,0.04436066369549033,0.3898305084745763,32,591,31,24,4,0.09166906203022453,-0.1731358563257173
1,267,0.14,-0.14,simultaneous,2,-0.1,0.18,True,59,175.67811732856165,0.04436066369549033,0.3898305084745763,32,91,31,24,4,0.09166906203022453,-0.1731358563257173
1,267,0.14,-0.14,oracle,2,-0.14,0.14,True,60,155.14962621757195,0.048691196604996496,0.38333333333333336,32,92,32,24,4,0.09166906203022453,-0.1731358563257173
1,268,0.14,-0.14,baseline,1,0.0,0.0,False,500,145.05787087739472,0.2645101794562126,0.458,0,500,417,83,0,,
1,268,0.14,-0.14,dominant_only,2,0.0,0.18,False,500,129.09488977335303,0.32366744887919935,0.108,32,532,102,398,0,0.09166906203022508,-0.1731358563257173
1,268,0.14,-0.14,sequential,2,0.0,0.18,False,500,129.09488977335303,0.32366744887919935,0.108,32,532,102,398,0,0.09166906203022508,-0.1731358563257173
1,268,0.14,-0.14,sequential,3,-0.1,0.18,True,72,264.5080602254924,0.0470802308809444,0.5,32,604,31,34,7,0.09166906203022508,-0.1731358563257173
1,268,0.14,-0.14,simultaneous,2,-0.1,0.18,True,72,264.5080602254924,0.0470802308809444,0.5,32,104,31,34,7,0.09166906203022508,-0.1731358563257173
1,268,0.14,-0.14,oracle,2,-0.14,0.14,True,73,266.1184608289609,0.04901750577860964,0.4931506849315068,32,105,32,35,6,0.09166906203022508,-0.1731358563257173
1,269,0.14,-0.14,baseline,1,0.0,0.0,False,500,135.85467725737237,0.2566946651424842,0.448,0,500,416,84,0,,
1,269,0.14,-0.14,dominant_only,2,0.0,0.18,False,500,129.35773931347399,0.3090988650412958,0.088,32,532,82,418,0,0.09166906203022523,-0.1731358563257173
1,269,0.14,-0.14,sequential,2,0.0,0.18,False,500,129.35773931347399,0.3090988650412958,0.088,32,532,82,418,0,0.09166906203022523,-0.1731358563257173
1,269,0.14,-0.14,sequential,3,-0.1,0.18,True,65,226.87977158719977,0.049091193782960896,0.5076923076923077,32,597,29,31,5,0.09166906203022523,-0.1731358563257173
1,269,0.14,-0.14,simultaneous,2,-0.1,0.18,True,65,226.87977158719977,0.049091193782960896,0.5076923076923077,32,97,29,31,5,0.09166906203022523,-0.1731358563257173
1,269,0.14,-0.14,oracle,2,-0.14,0.14,True,67,212.4319260686202,0.04741370867422883,0.4925373134328358,32,99,30,32,5,0.09166906203022523,-0.1731358563257173
