experiment_run_id,source_git_commit,case_id,episode_id,seed,decision_required,initial_success,initial_steps,initial_return,initial_final_object_goal_distance,condition_id,mechanism_class_oracle,passive_prediction,probe_prediction,probe_score,probe_relative_bias_std,probe_mean_estimation_residual,probe_sign_disagreement,phase_inconsistency,temporal_uncertainty,passive_candidate,probe_candidate,oracle_mechanism_candidate,best_candidate_ids,paired_comparable,compensation_available,compensation_unavailable_reason,passive_candidate_is_best,probe_candidate_is_best,oracle_mechanism_candidate_is_best,belief_changed,intervention_changed,probe_vs_passive_selected_outcome,registered_probe_environment_steps,initial_perturbation_seed,probe_perturbation_seed_base,verification_perturbation_seed
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0033,33,632,False,True,183,348.6628652379399,0.04948923785709383,,,,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0034,34,633,False,True,117,395.02494111241697,0.04929937867329118,,,,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0035,35,634,False,True,81,216.67639332571326,0.046140024992728054,,,,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0036,36,635,False,True,182,747.2056778336992,0.0495325014065313,,,,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0037,37,636,True,False,500,366.78406081106203,0.1092342766971367,fault_05,stochastic_noise,stable_bias,stochastic_noise,0.42074176050683026,1.3815832579642222,5.4144411203277526e-05,0.5,0.9739262355020469,0.9706361121967519,probe_grounded_compensation,stochastic_retry,stochastic_retry,stochastic_retry,True,True,,False,True,True,True,True,left_better,64,4091913044,94438273,1761331386
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0038,38,637,False,True,76,176.74307149865157,0.048234010134548415,,,,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0039,39,638,False,True,73,188.8972784219272,0.0496675059681431,,,,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0040,40,639,False,True,145,733.8441854171522,0.04433906001565389,,,,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0041,41,640,False,True,80,226.1551344129017,0.04994177212136023,,,,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0042,42,641,True,False,500,375.58069436951484,0.41499317802691604,fault_05,stochastic_noise,stochastic_noise,stochastic_noise,0.35149803862090173,3.155069362595833,2.00705565294742e-05,0.5,0.9808580354123625,0.981541614125067,stochastic_retry,stochastic_retry,stochastic_retry,stochastic_retry,True,True,,True,True,True,False,False,tie,64,2661661988,1719569697,2320687258
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0043,43,642,False,True,143,551.9578754739186,0.04841394474359668,,,,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0044,44,643,True,False,500,514.6321166561862,0.2816600679223732,fault_05,stochastic_noise,stochastic_noise,stochastic_noise,0.2854923049035449,2.096798588473483,1.650842862009111e-05,0.5,0.9862017328674761,0.9936376651247691,stochastic_retry,stochastic_retry,stochastic_retry,stochastic_retry,True,True,,True,True,True,False,False,tie,64,1653817108,2629167814,3298494114
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0045,45,644,False,True,193,643.8440359891964,0.047500583381070195,,,,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0046,46,645,False,True,109,375.9290290937616,0.04839203921442663,,,,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0047,47,646,True,False,500,639.5058884725812,0.1673583019249736,fault_05,stochastic_noise,stable_bias,stochastic_noise,1.4647976872103394,1.3854406992210702,4.256035633504954e-05,0.25,0.8698226588351116,0.8714198920732279,probe_grounded_compensation,stochastic_retry,stochastic_retry,probe_grounded_compensation,True,True,,True,False,False,True,True,right_better,64,2485135208,2326104152,1878095265
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0048,48,647,True,False,500,360.26218225266575,0.21670424264276922,fault_05,stochastic_noise,stable_bias,stochastic_noise,0.631600723855238,1.9699402898659502,4.908151478076217e-05,0.5,0.918478658188037,0.9294480900584807,probe_grounded_compensation,stochastic_retry,stochastic_retry,probe_grounded_compensation,True,True,,True,False,False,True,True,right_better,64,3898795446,1435688156,2176509134
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0049,49,648,False,True,128,186.69735188588763,0.04891225291454602,,,,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0050,50,649,False,True,135,593.6361707553755,0.04813500592718981,,,,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0051,51,650,False,True,94,271.9975754064261,0.048372362114932024,,,,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0052,52,651,False,True,199,1070.335283300166,0.04680015056816919,,,,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0053,53,652,False,True,74,208.5956450638597,0.04836167342425083,,,,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0054,54,653,True,False,500,174.381525703439,0.3446047840451701,fault_05,stochastic_noise,stochastic_noise,stochastic_noise,0.5225303475511163,0.7770343877778897,0.00011896519136365667,0.5,0.9432551522263156,0.9379461799639202,stochastic_retry,stochastic_retry,stochastic_retry,stochastic_retry,True,True,,True,True,True,False,False,tie,64,2257231306,3490574853,267374511
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0055,55,654,False,True,409,1627.9156666793253,0.047611132184693,,,,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T070305Z_1046f463d168,1046f463d16807f5a93c96870bc1eae43f0e7cab,development_case_0056,56,655,True,False,500,2563.217936934005,0.3595345342849935,fault_05,stochastic_noise,stochastic_noise,stochastic_noise,0.5131069972018028,1.2864550394122438,6.062609576905603e-05,0.5,0.885954464310268,0.8778611507194249,stochastic_retry,stochastic_retry,stochastic_retry,stochastic_retry,True,True,,True,True,True,False,False,tie,64,1814788418,2352779651,4253019096
