experiment_run_id,manifest_id,source_git_commit,episode_id,seed,initial_success,decision_required,initial_steps,initial_final_object_goal_distance,selection_always_compensation,selection_always_retry,selection_state_only_nearest_accepted,selection_v2_fixed_coverage_aware,selection_frozen_single_feature_selector,selection_deterministic_action_conditional,candidate_id,verification_status,verification_success,verification_steps,final_object_goal_distance,observed_progress,paired_verification_seed,outcome_timestamp_ns
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,19,1118,False,True,500,0.278035521156256,,,,,,,BOUNDED_PLANAR_COMPENSATION,INCONCLUSIVE,False,500,0.1384306623508177,0.13960485880543833,1762220784,154356531675700
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,19,1118,False,True,500,0.278035521156256,,,,,,,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,False,500,0.278035521156256,0.0,1762220784,154358026810500
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,21,1120,False,True,500,0.2849428147318502,,,,,,,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,True,73,0.04804143965264095,0.23690137507920922,2545359101,154363415187300
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,21,1120,False,True,500,0.2849428147318502,,,,,,,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,False,500,0.2849428147318502,0.0,2545359101,154365087786300
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,23,1122,False,True,500,0.26831018987671457,,,,,,,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,True,71,0.049507303140552815,0.21880288673616174,705250109,154370277184600
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,23,1122,False,True,500,0.26831018987671457,,,,,,,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,False,500,0.26831018987671457,0.0,705250109,154371785820700
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,24,1123,False,True,500,0.1656099984990251,,,,,,,BOUNDED_PLANAR_COMPENSATION,INCONCLUSIVE,False,500,0.16003659882545332,0.005573399673571788,3471745643,154376424971400
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,24,1123,False,True,500,0.1656099984990251,,,,,,,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,False,500,0.1656099984990251,0.0,3471745643,154377913972800
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,27,1126,False,True,500,0.1738146195348529,,,,,,,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,True,69,0.046683308039105725,0.12713131149574716,3634608235,154384289087800
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,27,1126,False,True,500,0.1738146195348529,,,,,,,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,False,500,0.1738146195348529,0.0,3634608235,154385767711000
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,29,1128,False,True,500,0.20138009986143973,,,,,,,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,True,65,0.04990675537027593,0.15147334449116379,1418691368,154390984138800
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,29,1128,False,True,500,0.20138009986143973,,,,,,,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,False,500,0.20138009986143973,0.0,1418691368,154392460969400
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,31,1130,False,True,500,0.46662018002808764,,,,,,,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,True,61,0.047667187367782804,0.41895299266030483,189233860,154397679317800
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,31,1130,False,True,500,0.46662018002808764,,,,,,,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,False,500,0.46662018002808764,0.0,189233860,154399203862800
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,32,1131,False,True,500,0.1665817688666123,,,,,,,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,True,57,0.04821970229783625,0.11836206656877604,1168474382,154403289025600
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,32,1131,False,True,500,0.1665817688666123,,,,,,,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,False,500,0.1665817688666123,0.0,1168474382,154404730284700
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,34,1133,False,True,500,0.40934904961260077,,,,,,,BOUNDED_PLANAR_COMPENSATION,INCONCLUSIVE,False,500,0.25616023216280775,0.153188817449793,3189239683,154410432906500
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,34,1133,False,True,500,0.40934904961260077,,,,,,,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,False,500,0.40934904961260077,0.0,3189239683,154411988142300
