experiment_run_id,manifest_id,source_git_commit,episode_id,seed,initial_success,decision_required,initial_steps,initial_final_object_goal_distance,selection_always_compensation,selection_always_retry,selection_state_only_nearest_accepted,selection_v2_fixed_coverage_aware,selection_frozen_single_feature_selector,selection_deterministic_action_conditional,condition_id_oracle,paired_comparable,probe_steps,evaluator_collection_steps
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,26,1125,True,False,56,0.045207841588511766,,,,,,,fault_01,False,0,56
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,27,1126,False,True,500,0.1738146195348529,BOUNDED_PLANAR_COMPENSATION,INDEPENDENT_STOCHASTIC_RETRY,BOUNDED_PLANAR_COMPENSATION,,INDEPENDENT_STOCHASTIC_RETRY,BOUNDED_PLANAR_COMPENSATION,fault_02,True,64,1133
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,28,1127,True,False,113,0.04749531589025254,,,,,,,fault_03,False,0,113
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,29,1128,False,True,500,0.20138009986143973,BOUNDED_PLANAR_COMPENSATION,INDEPENDENT_STOCHASTIC_RETRY,BOUNDED_PLANAR_COMPENSATION,,INDEPENDENT_STOCHASTIC_RETRY,BOUNDED_PLANAR_COMPENSATION,fault_04,True,64,1129
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,30,1129,True,False,67,0.049582800639346024,,,,,,,fault_05,False,0,67
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,31,1130,False,True,500,0.46662018002808764,BOUNDED_PLANAR_COMPENSATION,INDEPENDENT_STOCHASTIC_RETRY,BOUNDED_PLANAR_COMPENSATION,,INDEPENDENT_STOCHASTIC_RETRY,BOUNDED_PLANAR_COMPENSATION,fault_01,True,64,1125
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,32,1131,False,True,500,0.1665817688666123,BOUNDED_PLANAR_COMPENSATION,INDEPENDENT_STOCHASTIC_RETRY,BOUNDED_PLANAR_COMPENSATION,,INDEPENDENT_STOCHASTIC_RETRY,BOUNDED_PLANAR_COMPENSATION,fault_02,True,64,1121
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,33,1132,True,False,113,0.047704547314989854,,,,,,,fault_03,False,0,113
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,34,1133,False,True,500,0.40934904961260077,BOUNDED_PLANAR_COMPENSATION,INDEPENDENT_STOCHASTIC_RETRY,BOUNDED_PLANAR_COMPENSATION,,INDEPENDENT_STOCHASTIC_RETRY,BOUNDED_PLANAR_COMPENSATION,fault_04,True,64,1564
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,35,1134,True,False,73,0.04781095607276955,,,,,,,fault_05,False,0,73
probemem_acr_20260802T103454Z_dedbf7f07ec8,d2cb1281b5b1cad4804e36c519507a2e745d1c460ff76d574da99e040437b825,dedbf7f07ec814b9a96605920182007178d182ea,36,1135,False,True,500,0.17696921314748423,BOUNDED_PLANAR_COMPENSATION,INDEPENDENT_STOCHASTIC_RETRY,BOUNDED_PLANAR_COMPENSATION,,INDEPENDENT_STOCHASTIC_RETRY,BOUNDED_PLANAR_COMPENSATION,fault_01,True,64,1117
